Journal,IF (JCR year 2024),IF (5 yr),H5-index,Publisher,Publishing Model,Subject Area (tags),Aims & Scope,Content Tags,
Infectious Diseases Now,2.2,2.5,25,Elsevier,Hybrid,epidemiology,https://www.sciencedirect.com/journal/infectious-diseases-now/about/aims-and-scope,,
Innovative Higher Education,2.4,2.5,36,Springer,Hybrid,higher ed,,,
Internal and Emergency Medicine,3.8,3.3,57,Springer,Hybrid,emergency medicine,https://link.springer.com/journal/11739/aims-and-scope,,
International Journal of Business Continuity and Risk Management,,,9,Inderscience,Subscription,"international, emergency management",,,
International Journal of Climate Change Strategies and Management,3.5,4.3,33,Emerald,Open access,"environment, international",https://www.emeraldgrouppublishing.com/journal/ijccsm,,
International Journal of Crisis Communication,,,7,Green,Open access,"international, emergency management",,,
International Journal of Cyber Warfare and Terrorism,0.1,0.3,,IGI Global,Hybrid,international,https://www.igi-global.com/journal/international-journal-cyber-warfare-terrorism/1167#description,terrorism,
International Journal of Digital Earth,4.9,4.7,46,Taylor & Francis,Open access,"general science, environment, international",https://www.tandfonline.com/journals/tjde20/about-this-journal#aims-and-scope,,
International Journal of Disaster Management,,,,Universitas Syiak Kuala's Tsunami and Disaster Mitgation Research Center (Indonesia),Open access,"international, emergency management",,,
International Journal of Disaster Resilience in the Built Environment,1.1,1.5,22,Emerald,Hybrid,"environment, international, Emergency Management",https://www.emeraldgrouppublishing.com/journal/ijdrbe#journal_aims_scope,,
International Journal of Disaster Response and Emergency Management,,,,IGI Global,Hybrid,"international, emergency management",,,
International Journal of Disaster Risk Reduction,4.5,5.1,101,Elsevier,Hybrid,"international, emergency management",https://www.sciencedirect.com/journal/international-journal-of-disaster-risk-reduction/about/aims-and-scope,,
International Journal of Disaster Risk Science,4,4.8,41,Springer,Open access,"international, emergency management",https://link.springer.com/journal/13753/aims-and-scope,,
International Journal of Earthquake and Impact Engineering,,,,Inderscience,Hybrid,"international, emergency management",,,
International Journal of Emergency Management,0.6,0.9,,Inderscience,Hybrid,"international, emergency management",https://www.inderscience.com/jhome.php?jcode=ijem,,
International Journal of Emergency Medicine,2,2.2,33,BMC (Springer),Open access,"international, emergency management",https://intjem.biomedcentral.com/about,,
International Journal of Emergency Services,1.6,1.3,16,Emerald,Hybrid,"international, emergency management",https://emeraldgrouppublishing.com/journal/ijes?id=ijes,,
